"year";"O3 hr - A";"PM2,5 - BAM hr - A";"NOx hr - A";"O3 hr - B";"PM2,5 - BAM hr - B";"NOx hr - B"
"2013";"23.348410155185253";"9.679872217934275";"3.363817037897037";"18.84006236631862";"8.32901302086447";"4.543163450800861"
"2014";"22.51253931232928";"7.511747031923145";"3.80165609886999";"23.449771180321065";"7.965744303015899";NULL
"2015";"23.159059329959586";"5.852519938430997";"3.190294878935301";"23.13237527026243";"5.454099978018327";NULL
"2016";"23.405049183254476";"4.4524694312965085";"3.1105426974877006";"22.20899560141698";"4.42478301809655";NULL
"2017";"22.544688419359964";"5.54023662881316";"3.360026573408205";"24.867361918856552";"5.4077959395957595";NULL
"2018";"26.77916436765665";"4.925324060578502";"3.4925750176806787";"25.37060638844412";"4.966194733372779";NULL
"2019";"24.171651835034318";NULL;"3.4611364230498043";"29.643727307631053";NULL;NULL
