"year";"H2S hr - A";"O3 hr - A";"PM2,5 - A";"H2S hr - B";"O3 hr - B";"PM2,5 - B"
"2008";"0.14302929111591045";"18.935977901684836";NULL;"0.18291937650000772";"16.484607692441664";NULL
"2009";"0.12762431342530622";"17.32589143155472";NULL;"0.15470257992359623";"17.352781373860992";NULL
"2010";"0.15105126524885623";"19.89597664073618";NULL;"0.13290537695750354";"19.16699995957607";NULL
