"year";"CO hr - A";"PM2,5 - BAM hr - A";"O3 hr - A";"NOx hr - A";"CO hr - B";"PM2,5 - BAM hr - B";"O3 hr - B";"NOx hr - B"
"2010";"0.2464472636486226";"9.298884908358458";"19.720869751891716";NULL;"0.22425978301912453";"6.382155781667462";"14.479270981481987";NULL
"2011";"0.20418201416353296";"8.716422624048633";"16.313023919706904";NULL;"0.23708210199669993";"8.38248603963158";"13.25698723226852";"9.327408040130699"
"2012";"0.19012578193709817";"11.88667884723539";"20.087053406879026";"6.747551266137167";"0.2307221380579303";"9.18771577690461";"15.644470738519837";NULL
"2013";"0.1698832916569496";"8.012099452606915";"21.968493567977507";"6.168697940783871";"0.2158702535556457";"6.676730799298747";"17.427015466015643";NULL
"2014";"0.17678686970763227";"8.192935787610212";"19.349801240929015";"6.046150687312278";"0.21663082116117252";"6.888313289684239";"17.678602781173822";NULL
"2015";"0.17561879132535366";"6.828209633504382";"18.46158460401798";"6.260125470669688";"0.21742917391397795";"8.964131609461221";"17.832142918769232";NULL
"2016";"0.16344338411828396";"6.14205873165789";"20.100309571079727";"5.171122863276631";"0.2054413780410632";"7.9688522664046655";"18.061513744721726";NULL
"2017";"0.1603549936014957";"5.805972218950778";"19.48319487076017";"5.7186727173976";"0.20791993102204345";"6.51908321017375";"20.16630425878386";NULL
"2018";"0.1689105575724896";"7.391788431814982";"21.947050175721795";"5.205958920471622";"0.20867317566999535";"6.531888327126123";"19.36033916238168";NULL
"2019";"0.165818385948805";"6.409659687435175";"20.51519767031521";"4.969465102441488";NULL;NULL;NULL;NULL
