"year";"PM2,5 - BAM hr - A";"O3 hr - A";"NOx hr - A";"PM2,5 - BAM hr - B";"O3 hr - B";"NOx hr - B"
"2009";NULL;"9.835191504637221";"19.625966958504826";"2.527155222211388";"8.73997743530545";"14.392079796989796"
"2010";NULL;"12.919533794448327";"22.985291680602504";NULL;"8.644173493389337";NULL
"2011";NULL;"2.1498286641671482";"20.77051088741006";NULL;"7.0112042244859465";NULL
"2012";NULL;"6.845713940524563";"24.24510245650054";NULL;"6.244137481676043";NULL
"2013";NULL;"8.464179232984517";"22.03159447891329";NULL;"6.308960271533091";NULL
"2014";NULL;"5.198660821308307";"21.173384190067722";NULL;"4.750326751702485";NULL
